"district","sfcode","bldgcode","schoolname","siteaddress","borough","zip","accessibility","longitude","latitude","koshermealtype","button","content"
"2","02513","M480","Urban Academy Laboratory High School","317 EAST  67 STREET","Manhattan","10065","Partially Accessible",-73.959777,40.765638,"non-kosher","FreeMeals","317 EAST  67 STREET, , NY 10065<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"3","03009","M009","P.S. 009 Sarah Anderson","100 WEST  84 STREET","Manhattan","10024","Partially Accessible",-73.974256,40.785234,"non-kosher","FreeMeals","100 WEST  84 STREET, , NY 10024<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"11","11103","X103","P.S. 103 Hector Fontanez","4125 CARPENTER AVENUE","Bronx","10466","No Accessibility",-73.86194,40.892198,"non-kosher","FreeMeals","4125 CARPENTER AVENUE, , NY 10466<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"25","25107","Q107","P.S. 107 Thomas A Dooley","167-02 45 AVENUE","Queens","11358","Fully Accessible",-73.799476,40.755364,"non-kosher","FreeMeals","167-02 45 AVENUE, , NY 11358<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"25","25164","Q164","P.S. 164","138-01 77 AVENUE","Queens","11367","No Accessibility",-73.823569,40.721514,"kosher","FreeMeals","138-01 77 AVENUE, , NY 11367<br/><b>Kosher meal type: </b>kosher<br/><b>Accessibility: </b>No Accessibility"
"32","32562","K296","Evergreen M.S. for Urban Exploration","125 COVERT STREET","Brooklyn","11207","No Accessibility",-73.910589,40.688647,"non-kosher","FreeMeals","125 COVERT STREET, , NY 11207<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"14","14318","K318","I.S. 318 Eugenio Maria De Hostos","101 WALTON STREET","Brooklyn","11206","Partially Accessible",-73.948771,40.703034,"non-kosher","FreeMeals","101 WALTON STREET, , NY 11206<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"27","27062","Q062","P.S. 062 Chester Park","97-25 108 STREET","Queens","11419","Fully Accessible",-73.835567,40.688359,"non-kosher","FreeMeals","97-25 108 STREET, , NY 11419<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"29","29356","Q231","Community Voices Middle School","145-00 SPRINGFIELD BOULEVARD","Queens","11413","No Accessibility",-73.759396,40.664809,"non-kosher","FreeMeals","145-00 SPRINGFIELD BOULEVARD, , NY 11413<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"13","13256","K256","P.S. 256 Benjamin Banneker","114 KOSCIUSZKO STREET","Brooklyn","11216","No Accessibility",-73.94961,40.690595,"non-kosher","FreeMeals","114 KOSCIUSZKO STREET, , NY 11216<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
