"borough","ClosureType","EditDate","GISpropNum","OMPpropID","Red.Sign.Installed","Status","accessibility","accessibilityLevel","location","name","longitude","latitude","rules","system","Approx.Date.Closed","Approx.Date.Reopened","Community.board","District","button","content"
"Bronx","Completely Locked","07/06/2020 12:44:05 PM","X186","X186","","Reopened","","","Hudson Manor Ter bet. W 237 St and W 236 St","Riverdale Playground",-73.9147782950652,40.8876081686989,"","","03/31/2020 07:11:11 PM","07/06/2020 12:00:00 AM",208,"X-08","Playgrounds","Hudson Manor Ter bet. W 237 St and W 236 St, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>"
"Bronx","Completely Locked","06/22/2020 10:33:06 AM","X197","X197","","Reopened","false","Not Applicable","Mosholu Parkway South bet. Bainbridge Ave. and Briggs Ave.","Mosholu Playground",-73.882859966264,40.8721592631146,"Adults Allowed","X197-CPA-0002","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",207,"X-07","Playgrounds","Mosholu Parkway South bet. Bainbridge Ave. and Briggs Ave., Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Manhattan","Completely Locked","06/23/2020 09:14:23 AM","M283","M283-01","","Reopened","","","","Nelson Rockefeller Park Playground North",-74.0155558956247,40.7180874551248,"","","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",101,"M-01","Playgrounds",", Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>"
"Bronx","Completely Locked","06/22/2020 11:09:38 AM","X121","X121","","Reopened","false","Not Applicable","Bradford Ave. bet. La Salle Ave. and Waterbury Ave.","Bufano Park",-73.8309119667303,40.8378545580122,"Adults Allowed","X121-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",210,"X-10","Playgrounds","Bradford Ave. bet. La Salle Ave. and Waterbury Ave., Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Brooklyn","Completely Locked","06/23/2020 10:08:49 AM","B287","B287","","Reopened","","","","Andries Playground",-73.9464552609493,40.62283326105,"","","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",314,"B-14","Playgrounds",", Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>"
"Brooklyn","Completely Locked","06/22/2020 04:19:50 PM","B118B","B118B","true","Reopened","","","","St. Mary's Park",-73.9972220658303,40.6764307214546,"","","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",306,"B-06","Playgrounds",", Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>"
"Queens","Completely Locked","06/21/2020 06:41:49 PM","Q305","Q305","","Reopened","false","Not Applicable","65 Pl. bet. Shaler Ave. and the rail yards","Mafera Park",-73.891179895965,40.7057533592646,"Adults Allowed","Q305-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 09:00:00 AM",405,"Q-05","Playgrounds","65 Pl. bet. Shaler Ave. and the rail yards, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Manhattan","Completely Locked","06/22/2020 03:31:59 PM","M071","M071-37","","Reopened","true","Level 3: Accessible Playgrounds with Universally Accessible Swings","W 112-113 Sts, Riverside Dr","Tot Lot One Hundred And Twelve",-73.9679302018404,40.8064616030763,"Unknown","M071-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",109,"M-14","Playgrounds","W 112-113 Sts, Riverside Dr, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 3: Accessible Playgrounds with Universally Accessible Swings"
"Brooklyn","Completely Locked","06/22/2020 03:35:50 PM","B267","B267","","Reopened","false","Not Applicable","Winthrop St. between Rogers Ave. and Bedford Ave.","Winthrop Playground",-73.954789948915,40.6565652459303,"Adults Allowed","B267-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",309,"B-09","Playgrounds","Winthrop St. between Rogers Ave. and Bedford Ave., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Bronx","Completely Locked","06/22/2020 01:12:24 PM","X185","X185","","Reopened","","","E 161 St, Trinity Av, E 163 St, Cauldwel","Dunbar Playground",-73.906443750881,40.8230107773918,"","","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",203,"X-03","Playgrounds","E 161 St, Trinity Av, E 163 St, Cauldwel, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>"
"Brooklyn","Completely Locked","06/22/2020 01:55:05 PM","B129","B129-01","","Reopened","","","","Leon S Kaiser Playground",-73.995352832906,40.5781964380472,"","","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",313,"B-13","Playgrounds",", Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>"
"Bronx","Completely Locked","06/22/2020 10:00:32 AM","X290","X290","","Reopened","","","Longfellow Ave., Lowell St., E. 165 St.","Longfellow Playground",-73.8875568672046,40.8255950674082,"","","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",202,"X-02","Playgrounds","Longfellow Ave., Lowell St., E. 165 St., Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>"
"Manhattan","Completely Locked","06/22/2020 03:57:42 PM","M088","M088-03","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","E 7 St - 8 St & Ave B","Tompkins Square Park",-73.9815411982918,40.7256218379464,"Unknown","M088-CPA-0002","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",103,"M-03","Playgrounds","E 7 St - 8 St & Ave B, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Bronx","Partially Locked","06/22/2020 09:54:46 AM","X194","X194","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","E 156 St bet. Jackson Av and Forest Av","Captain Rivera Playground",-73.9070187283234,40.8181366711574,"Adults Allowed","X194-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",201,"X-01","Playgrounds","E 156 St bet. Jackson Av and Forest Av, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Brooklyn","Completely Locked","06/22/2020 11:35:22 AM","B283","B283","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Belmont Ave. between Forbell St. and Drew St.","Belmont Playground",-73.8629233583666,40.6754532062296,"Adults Allowed","B283-CPA-0001","03/31/2020 07:11:11 PM","06/20/2020 12:00:00 AM",305,"B-05","Playgrounds","Belmont Ave. between Forbell St. and Drew St., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Queens","Completely Locked","06/21/2020 11:14:48 AM","Q020","Q020-01","","Reopened","false","Not Applicable","Jamaica Ave & Elton St","Lower Highland Playground",-73.8855915510305,40.6840669197354,"Unknown","Q020-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 11:14:45 AM",305,"Q-05A","Playgrounds","Jamaica Ave & Elton St, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Brooklyn","Completely Locked","06/22/2020 03:35:31 PM","B012","B012-02","","Reopened","true","Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings","Brooklyn Ave & Prospect Pl","Brower Park",-73.9435531812071,40.6735066677001,"Adults not allowed in some locations","B012-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",308,"B-08","Playgrounds","Brooklyn Ave & Prospect Pl, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings"
